진단명,ICD코드,ADRG,ADRG명,MDC,계열,DRG코드
얼굴 및 목의 기타 선천기형,Q18,D660,Ear Trauma and Other Diseases D66001 W Catastrophic or Severe CC,03,,"D66000, D66001"
얼굴 및 목의 기타 선천기형,Q18,D730,Other Nose Diseases D73000 중증도 구분 없음,03,,D73000
얼굴 및 목의 기타 선천기형,Q18,D810,Other Neck Diseases D81001 W Catastrophic or Severe CC,03,,"D81000, D81001"
얼굴 및 목의 기타 선천기형,Q18,F720,Congenital Heart Diseases F72003 W Catastrophic CC,19,,"F72000, F72001, F72002, F72003"
얼굴 및 목의 기타 선천기형,Q18,J700,Other Minor Skin Diseases J70003 W Catastrophic CC,09,,"J70000, J70001, J70002, J70003"
얼굴 및 목의 기타 선천기형,Q18,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
얼굴 및 목의 기타 선천기형,Q18,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
얼굴 및 목의 기타 선천기형,Q18,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
얼굴 및 목의 기타 선천기형,Q18,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
얼굴 및 목의 기타 선천기형,Q18,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
얼굴 및 목의 기타 선천기형,Q18,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
얼굴 및 목의 기타 선천기형,Q18,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
신생물에 대한 특수선별검사,Z12,Z640,Other Factors Influencing Health Status Z64002 W Catastrophic CC,23,,"Z64000, Z64001, Z64002"
외이염,H60,D630,External Ear Infections and Inflammations D63000 중증도 구분 없음,03,,D63000
기타 다발신경병증,G62,B717,Peripheral Nerve Disorders B71702 W Catastrophic or Severe CC,01,,"B71700, B71701, B71702"
복벽탈장,K43,G641,Crohn’s disease G64101 W Catastrophic CC,06,,"G64100, G64101"
복벽탈장,K43,G689,Other Digestive system Diseases G68902 W Catastrophic CC,06,,"G68900, G68901, G68902"
기타 및 상세불명의 흉곽내기관의 손상,S27,E681,"Major Chest Trauma, Age ＜65 E68112 W Catastrophic CC",04,,"E68110, E68111, E68112, E68120, E68121, E68122"
기타 및 상세불명의 흉곽내기관의 손상,S27,E682,Other Chest Trauma E68202 W Catastrophic CC,04,,"E68200, E68201, E68202"
기타 및 상세불명의 흉곽내기관의 손상,S27,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
기타 및 상세불명의 흉곽내기관의 손상,S27,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
기타 및 상세불명의 흉곽내기관의 손상,S27,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
기타 및 상세불명의 흉곽내기관의 손상,S27,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
기타 및 상세불명의 흉곽내기관의 손상,S27,W610,Multiple Trauma without Procedures W61002 W Catastrophic CC,21-1,,"W61000, W61001, W61002"
심장박동의 이상,R00,F651,Hypothermia Therapy F65100 중증도 구분 없음,19,,F65100
심장박동의 이상,R00,F750,Other Arrhythmia and Conduction Disorders F75002 W Catastrophic CC,05,,"F75000, F75001, F75002"
심장박동의 이상,R00,F790,Palpitation F79001 W Catastrophic CC,19,,"F79000, F79001"
심장박동의 이상,R00,F800,Other Circulatory System Diseases F80003 W Catastrophic CC,05,,"F80000, F80001, F80002, F80003"
식품으로 섭취한 기타 유해물질의 독성효과,T62,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
식품으로 섭취한 기타 유해물질의 독성효과,T62,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
식품으로 섭취한 기타 유해물질의 독성효과,T62,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
식품으로 섭취한 기타 유해물질의 독성효과,T62,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
식품으로 섭취한 기타 유해물질의 독성효과,T62,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
식품으로 섭취한 기타 유해물질의 독성효과,T62,X620,"Poisoning, Toxic Effects of Drugs and X62011 W Catastrophic or Severe CC",21-2,,"X62010, X62011, X62020, X62021, X62022, X62023"
기타 골부착부병증,M77,I141,"Hip and Femur Procedures, Bilateral or Multiple",08,S,"I14100, I14101, I14102"
기타 골부착부병증,M77,I187,Other Shoulder Procedures,08,S,"I18700, I18701"
기타 골부착부병증,M77,I194,Other Knee Joint Procedures,08,S,"I19400, I19401, I19402, I19403"
기타 골부착부병증,M77,I200,Elbow and Forearm Procedures,08,S,"I20000, I20001, I20002"
기타 골부착부병증,M77,I211,Foot and Ankle Tendon and Ligament Procedures,08,S,I21100
기타 골부착부병증,M77,I212,Ankle Osteochondral Lesion Procedures,08,S,"I21200, I21201"
기타 골부착부병증,M77,I251,Major Wrist and Hand Procedures,08,S,"I25100, I25101, I25102"
기타 골부착부병증,M77,I252,Minor Wrist and Hand Procedures,08,S,"I25200, I25201, I25202, I25203"
기타 골부착부병증,M77,I710,Musculotendinous Disorders I71003 W Catastrophic CC,08,,"I71000, I71001, I71002, I71003"
기타 골부착부병증,M77,I722,"Noninfectious Tendinitis, Myositis and I72211 W Catastrophic or Severe or Moderate",08,,"I72210, I72211, I72220, I72221, I72222, I72223"
중이 및 호흡계통의 양성 신생물,D14,A091,"Tracheostomy for Face, Mouth and Neck Disorders with Long-Term Ventilator",Pre,S,
중이 및 호흡계통의 양성 신생물,D14,E671,Respiratory Neoplasm with Radiation E67103 W Catastrophic CC,15,,"E67100, E67101, E67102, E67103"
중이 및 호흡계통의 양성 신생물,D14,E673,Respiratory Neoplasm without Radiation E67303 W Catastrophic CC,15,,"E67300, E67301, E67302, E67303"
중이 및 호흡계통의 양성 신생물,D14,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
중이 및 호흡계통의 양성 신생물,D14,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
중이 및 호흡계통의 양성 신생물,D14,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
항문 및 항문관의 악성 신생물,C21,G041,"Rectal Resection, Transanal or Transsacral Approach for Malignancy",06,S,"G04100, G04101"
항문 및 항문관의 악성 신생물,C21,H622,Malignancy of Liver with Chemotherapy H62203 W Catastrophic CC,07,,"H62200, H62201, H62202, H62203"
항문 및 항문관의 악성 신생물,C21,H633,Malignancy of Biliary Tract or Pancreas H63303 W Catastrophic CC,06,,"H63300, H63301, H63302, H63303"
항문 및 항문관의 악성 신생물,C21,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
비뇨기관의 양성 신생물,D30,L631,Kidney and Urinary Tract Neoplasms with L63100 중증도 구분 없음,11,,L63100
비뇨기관의 양성 신생물,D30,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
비뇨기관의 양성 신생물,D30,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
비뇨기관의 양성 신생물,D30,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
비뇨기관의 양성 신생물,D30,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
비뇨기관의 양성 신생물,D30,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
비뇨기관의 양성 신생물,D30,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
비뇨기관의 양성 신생물,D30,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
성형수술을 포함한 추적치료를 위하여 보건서비스와 접하고 있는 사람,Z42,J063,Mastectomy except Malignancy,09,S,J06300
성형수술을 포함한 추적치료를 위하여 보건서비스와 접하고 있는 사람,Z42,J700,Other Minor Skin Diseases J70003 W Catastrophic CC,09,,"J70000, J70001, J70002, J70003"
기타 신체구조의 진단영상검사상 이상소견,R93,A092,"Tracheostomy for Face, Mouth and Neck Disorders with Short-Term Ventilator",Pre,S,
기타 신체구조의 진단영상검사상 이상소견,R93,A093,"Tracheostomy for Face, Mouth and Neck Disorders without Ventilator",Pre,S,
기타 신체구조의 진단영상검사상 이상소견,R93,B814,Other Nervous System Disorders B81402 W Catastrophic CC,01,,"B81400, B81401, B81402"
기타 신체구조의 진단영상검사상 이상소견,R93,D720,Nasal Trauma D72001 W Catastrophic or Severe CC,03,,"D72000, D72001"
기타 신체구조의 진단영상검사상 이상소견,R93,F800,Other Circulatory System Diseases F80003 W Catastrophic CC,05,,"F80000, F80001, F80002, F80003"
기타 신체구조의 진단영상검사상 이상소견,R93,G673,Other Gastrointestinal Symptoms G67302 W Catastrophic CC,06,,"G67300, G67301, G67302"
기타 신체구조의 진단영상검사상 이상소견,R93,H702,Diseases of Biliary Tract without H70203 W Catastrophic CC,15,,"H70200, H70201, H70202, H70203"
기타 신체구조의 진단영상검사상 이상소견,R93,I760,"Other Musculoskeletal Diseases, Age ≤18 I76011 W Catastrophic or Severe CC",08,,"I76010, I76011, I76020, I76021, I76022"
기타 신체구조의 진단영상검사상 이상소견,R93,L661,Kidney and Urinary Tract Signs and L66100 중증도 구분 없음,11,,L66100
기타 신체구조의 진단영상검사상 이상소견,R93,X600,"Injuries, Age ≤18 X60011 W Catastrophic or Severe or Moderate",21-2,,"X60010, X60011, X60020, X60021, X60030, X60031, X60032"
기타 신체구조의 진단영상검사상 이상소견,R93,Z610,,23,,"Z61000, Z61001, Z61002, Z61003"
철결핍빈혈,D50,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
철결핍빈혈,D50,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
철결핍빈혈,D50,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
철결핍빈혈,D50,Q610,"Red Blood Cell Diseases, Age ≤18 Q61011 W Catastrophic or Severe or Moderate",16,,"Q61010, Q61011, Q61020, Q61021, Q61022, Q61023"
골연속성의 장애,M84,I141,"Hip and Femur Procedures, Bilateral or Multiple",08,S,"I14100, I14101, I14102"
골연속성의 장애,M84,I160,"Humerus, Tibia, and Fibula Procedures",08,S,"I16010, I16020, I16021, I16022"
골연속성의 장애,M84,I187,Other Shoulder Procedures,08,S,"I18700, I18701"
골연속성의 장애,M84,I200,Elbow and Forearm Procedures,08,S,"I20000, I20001, I20002"
골연속성의 장애,M84,I211,Foot and Ankle Tendon and Ligament Procedures,08,S,I21100
골연속성의 장애,M84,I251,Major Wrist and Hand Procedures,08,S,"I25100, I25101, I25102"
골연속성의 장애,M84,I252,Minor Wrist and Hand Procedures,08,S,"I25200, I25201, I25202, I25203"
골연속성의 장애,M84,I651,"Connective Tissue Malignancy, Including I65102 W Catastrophic CC",08,,"I65100, I65101, I65102"
골연속성의 장애,M84,I652,"Connective Tissue Malignancy, Including I65210 중증도 구분 없음",08,,"I65210, I65220, I65221, I65222"
골연속성의 장애,M84,I653,"Connective Tissue Malignancy, Including I65311 W Catastrophic or Severe or Moderate CC",08,,"I65310, I65311, I65320, I65321, I65322, I65323"
골연속성의 장애,M84,I696,,08,,"I69600, I69601, I69602"
골연속성의 장애,M84,I760,"Other Musculoskeletal Diseases, Age ≤18 I76011 W Catastrophic or Severe CC",08,,"I76010, I76011, I76020, I76021, I76022"
골연속성의 장애,M84,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
골연속성의 장애,M84,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
골연속성의 장애,M84,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
골연속성의 장애,M84,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
골연속성의 장애,M84,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
골연속성의 장애,M84,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
골연속성의 장애,M84,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
"고관절의 관절 및 인대의 탈구, 염좌 및 긴장",S73,I141,"Hip and Femur Procedures, Bilateral or Multiple",08,S,"I14100, I14101, I14102"
"고관절의 관절 및 인대의 탈구, 염좌 및 긴장",S73,I142,"Hip and Femur Procedures, Unilateral",08,S,"I14210, I14211, I14220, I14221"
"고관절의 관절 및 인대의 탈구, 염좌 및 긴장",S73,I282,Surgery of Femoral Fracture,08,S,"I28200, I28201, I28202, I28203"
"고관절의 관절 및 인대의 탈구, 염좌 및 긴장",S73,I632,"Sprains and Strains of Hip, Pelvis and I63200 중증도 구분 없음",21-1,,I63200
"고관절의 관절 및 인대의 탈구, 염좌 및 긴장",S73,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
"고관절의 관절 및 인대의 탈구, 염좌 및 긴장",S73,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
"고관절의 관절 및 인대의 탈구, 염좌 및 긴장",S73,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
"고관절의 관절 및 인대의 탈구, 염좌 및 긴장",S73,W610,Multiple Trauma without Procedures W61002 W Catastrophic CC,21-1,,"W61000, W61001, W61002"
"고관절의 관절 및 인대의 탈구, 염좌 및 긴장",S73,X011,Microvascular Tissue Transfer for Injuries to Lower Limb,21-2,S,X01100
"고관절의 관절 및 인대의 탈구, 염좌 및 긴장",S73,X041,Bone and Joint Procedures for Injuries to Lower Limb,21-2,S,"X04100, X04101"
"고관절의 관절 및 인대의 탈구, 염좌 및 긴장",S73,X042,Other Procedures for Injuries to Lower Limb,21-2,S,"X04200, X04201, X04202"
뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물,D43,B091,CNS Stereotactic Procedures in Brain Tumor and Other Creation of Lesion,01,S,"B09100, B09101"
뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물,D43,B631,Nervous System Neoplasm with Radiation B63110 중증도 구분 없음,08,,"B63110, B63120, B63121"
뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물,D43,B632,Nervous System Neoplasm with B63203 W Catastrophic CC,01,,"B63200, B63201, B63202, B63203"
뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물,D43,B633,Nervous System Neoplasm without B63311 W Catastrophic or Severe CC,15,,"B63310, B63311, B63320, B63321, B63322, B63323"
뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물,D43,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물,D43,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물,D43,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물,D43,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물,D43,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물,D43,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물,D43,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물,D43,R611,Non-Acute Leukemia R61103 W Catastrophic CC,07,,"R61100, R61101, R61102, R61103"
저혈압,I95,F770,Syncope and Collapse F77002 W Catastrophic CC,05,,"F77000, F77001, F77002"
저혈압,I95,F800,Other Circulatory System Diseases F80003 W Catastrophic CC,05,,"F80000, F80001, F80002, F80003"
기타 말초혈관질환,I73,F680,,14,,"F68000, F68001, F68002"
기타 말초혈관질환,I73,F692,Other Vascular Diseases F69203 W Catastrophic CC,05,,"F69200, F69201, F69202, F69203"
기타 말초혈관질환,I73,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
머리의 표재성 손상,S00,C620,Hyphema and Medically Managed Trauma C62001 W Catastrophic or Severe CC,12,,"C62000, C62001"
머리의 표재성 손상,S00,J660,"Trauma to Skin, Subcutaneous Tissue and J66011 W Catastrophic or Severe or Moderate",04,,"J66010, J66011, J66020, J66021, J66022, J66023"
머리의 표재성 손상,S00,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
머리의 표재성 손상,S00,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
머리의 표재성 손상,S00,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
머리의 표재성 손상,S00,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
머리의 표재성 손상,S00,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
머리의 표재성 손상,S00,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
머리의 표재성 손상,S00,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
갑상선염,E06,A091,"Tracheostomy for Face, Mouth and Neck Disorders with Long-Term Ventilator",Pre,S,
갑상선염,E06,L622,Non-Infectious Kidney Diseases without L62213 W Catastrophic CC,00,,"L62210, L62211, L62212, L62213, L62220, L62221, L62222, L62223"
갑상선염,E06,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
기타 윤활낭병증,M71,I141,"Hip and Femur Procedures, Bilateral or Multiple",08,S,"I14100, I14101, I14102"
기타 윤활낭병증,M71,I142,"Hip and Femur Procedures, Unilateral",08,S,"I14210, I14211, I14220, I14221"
기타 윤활낭병증,M71,I160,"Humerus, Tibia, and Fibula Procedures",08,S,"I16010, I16020, I16021, I16022"
기타 윤활낭병증,M71,I187,Other Shoulder Procedures,08,S,"I18700, I18701"
기타 윤활낭병증,M71,I194,Other Knee Joint Procedures,08,S,"I19400, I19401, I19402, I19403"
기타 윤활낭병증,M71,I200,Elbow and Forearm Procedures,08,S,"I20000, I20001, I20002"
기타 윤활낭병증,M71,I211,Foot and Ankle Tendon and Ligament Procedures,08,S,I21100
기타 윤활낭병증,M71,I213,Other Foot and Ankle Procedures,08,S,"I21300, I21301, I21302"
기타 윤활낭병증,M71,I251,Major Wrist and Hand Procedures,08,S,"I25100, I25101, I25102"
기타 윤활낭병증,M71,I252,Minor Wrist and Hand Procedures,08,S,"I25200, I25201, I25202, I25203"
기타 윤활낭병증,M71,I721,"Infectious Tendinitis, Myositis and Bursitis I72102 W Catastrophic CC",08,,"I72100, I72101, I72102"
기타 윤활낭병증,M71,I722,"Noninfectious Tendinitis, Myositis and I72211 W Catastrophic or Severe or Moderate",08,,"I72210, I72211, I72220, I72221, I72222, I72223"
"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",S63,I251,Major Wrist and Hand Procedures,08,S,"I25100, I25101, I25102"
"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",S63,I252,Minor Wrist and Hand Procedures,08,S,"I25200, I25201, I25202, I25203"
"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",S63,I287,Surgery of Hand Fracture,08,S,"I28700, I28701, I28702"
"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",S63,I740,"Injuries to Forearm, Wrist, Hand and Foot, I74010 중증도 구분 없음",05,,"I74010, I74020, I74021"
"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",S63,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",S63,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",S63,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",S63,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",S63,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",S63,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",S63,W600,"Multiple Trauma, Transferred to Another W60000 중증도 구분 없음",21-1,,W60000
"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",S63,W610,Multiple Trauma without Procedures W61002 W Catastrophic CC,21-1,,"W61000, W61001, W61002"
"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",S63,X021,Microvascular Tissue Transfer for Injuries to Hand,21-2,S,X02100
"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",S63,X022,Local Tissue Transfer and Skin Graft for Injuries to Hand,21-2,S,"X02200, X02201, X02202"
"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",S63,X051,Bone and Joint Procedures for Injuries to Hand,21-2,S,"X05100, X05101"
"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",S63,X052,Other Procedures for Injuries to Hand,21-2,S,"X05200, X05201, X05202"
"손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",S63,X600,"Injuries, Age ≤18 X60011 W Catastrophic or Severe or Moderate",21-2,,"X60010, X60011, X60020, X60021, X60030, X60031, X60032"
급성 부비동염,J01,A091,"Tracheostomy for Face, Mouth and Neck Disorders with Long-Term Ventilator",Pre,S,
급성 부비동염,J01,A092,"Tracheostomy for Face, Mouth and Neck Disorders with Short-Term Ventilator",Pre,S,
급성 부비동염,J01,A093,"Tracheostomy for Face, Mouth and Neck Disorders without Ventilator",Pre,S,
급성 부비동염,J01,D680,Paranasal Sinus Infections and D68001 W Catastrophic or Severe or Moderate,15,,"D68000, D68001"
급성 부비동염,J01,D750,"Laryngotracheitis and Epiglottitis, Age D75011 W Catastrophic or Severe CC",03,,"D75010, D75011, D75020, D75021"
급성 부비동염,J01,D790,Pharyngitis and Tonsillitis D79003 W Catastrophic CC,03,,"D79000, D79001, D79002, D79003"
급성 부비동염,J01,E624,"Viral Pneumonia, Child E62402 W Catastrophic CC",04,,"E62400, E62401, E62402"
급성 부비동염,J01,E626,"Viral Pneumonia, Adult(18＜Age＜65) E62611 W Catastrophic or Severe CC",15,,"E62610, E62611, E62620, E62621, E62622"
급성 부비동염,J01,E730,"Bronchitis, Age ≤18 E73012 W Catastrophic CC",04,,"E73010, E73011, E73012, E73020, E73021, E73022"
급성 부비동염,J01,J041,Excision of Malignant Tumor in Skin and Soft Tissue,09,S,J04100
급성 부비동염,J01,J042,Skin and Soft Tissue Procedures,09,S,"J04200, J04201, J04202"
급성 부비동염,J01,J100,Perianal and Pilonidal Procedures,09,S,J10000
급성 부비동염,J01,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
급성 부비동염,J01,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
급성 부비동염,J01,P652,"Neonate, Admission Weight 1500-1999g P65200 중증도 구분 없음",18-2,,P65200
급성 부비동염,J01,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
급성 부비동염,J01,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
급성 부비동염,J01,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
급성 부비동염,J01,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
급성 부비동염,J01,T015,OR Procedures for Other Infectious Diseases,18-2,S,"T01500, T01501"
헤르페스바이러스[단순헤르페스] 감염,B00,A091,"Tracheostomy for Face, Mouth and Neck Disorders with Long-Term Ventilator",Pre,S,
헤르페스바이러스[단순헤르페스] 감염,B00,B012,Simple Cerebral Aneurysm Procedures with Stroke,01,S,B01200
헤르페스바이러스[단순헤르페스] 감염,B00,B018,Combined Procedures in Embolization of Cerebral Aneurysm with Stroke,01,S,"B01800, B01801"
헤르페스바이러스[단순헤르페스] 감염,B00,B733,Encephalitis except Viral Meningitis B73302 W Catastrophic CC,01,,"B73300, B73301, B73302"
헤르페스바이러스[단순헤르페스] 감염,B00,B740,Viral Meningitis B74001 W Catastrophic CC,01,,"B74000, B74001"
헤르페스바이러스[단순헤르페스] 감염,B00,C600,"Acute and Major Eye Infections, Age ＜65 C60010 중증도 구분 없음",02,,"C60010, C60020"
헤르페스바이러스[단순헤르페스] 감염,B00,E624,"Viral Pneumonia, Child E62402 W Catastrophic CC",04,,"E62400, E62401, E62402"
헤르페스바이러스[단순헤르페스] 감염,B00,J690,Other Moderate Skin Diseases J69003 W Catastrophic CC,09,,"J69000, J69001, J69002, J69003"
헤르페스바이러스[단순헤르페스] 감염,B00,J700,Other Minor Skin Diseases J70003 W Catastrophic CC,09,,"J70000, J70001, J70002, J70003"
헤르페스바이러스[단순헤르페스] 감염,B00,P641,"Neonate, Admission Weight 1250-1499g P64100 중증도 구분 없음",15,,P64100
헤르페스바이러스[단순헤르페스] 감염,B00,P651,"Neonate, Admission Weight 1500-1999g P65100 중증도 구분 없음",15,,P65100
헤르페스바이러스[단순헤르페스] 감염,B00,P661,"Neonate, Admission Weight 2000-2499g P66100 중증도 구분 없음",15,,P66100
헤르페스바이러스[단순헤르페스] 감염,B00,P662,"Neonate, Admission Weight 2000-2499g P66200 중증도 구분 없음",18-2,,P66200
헤르페스바이러스[단순헤르페스] 감염,B00,P671,"Neonate, Admission Weight>2499g without P67100 중증도 구분 없음",06,,P67100
헤르페스바이러스[단순헤르페스] 감염,B00,P672,"Neonate, Admission Weight>2499g without P67200 중증도 구분 없음",15,,P67200
헤르페스바이러스[단순헤르페스] 감염,B00,T015,OR Procedures for Other Infectious Diseases,18-2,S,"T01500, T01501"
헤르페스바이러스[단순헤르페스] 감염,B00,T632,"Herpesviral Diseases, Age ≤18 T63210 중증도 구분 없음",15,,"T63210, T63220, T63221"
기타 전신 증상 및 징후,R68,A091,"Tracheostomy for Face, Mouth and Neck Disorders with Long-Term Ventilator",Pre,S,
기타 전신 증상 및 징후,R68,E771,Respiratory Symptoms and Signs or E77103 W Catastrophic CC,04,,"E77100, E77101, E77102, E77103"
기타 전신 증상 및 징후,R68,K611,Diabetes with Acute Complication K61102 W Catastrophic CC,10,,"K61100, K61101, K61102"
기타 전신 증상 및 징후,R68,L662,Kidney and Urinary Tract Signs and L66202 W Catastrophic CC,18-1,,"L66200, L66201, L66202"
기타 전신 증상 및 징후,R68,Z610,,23,,"Z61000, Z61001, Z61002, Z61003"
비뇨 및 골반 기관의 손상,S37,I142,"Hip and Femur Procedures, Unilateral",08,S,"I14210, I14211, I14220, I14221"
비뇨 및 골반 기관의 손상,S37,I682,Non-Surgical Neck and Back Conditions I68213 W Catastrophic CC,08,,"I68210, I68211, I68212, I68213, I68220, I68221, I68222, I68223"
